current_epoch	train_loss	train_acc	train_f_score_hateful	train_f_score_abusive	train_f_score_normal	train_f_score_spam	train_acc_class_hateful	train_loss_class_hateful	train_acc_class_abusive	train_loss_class_abusive	train_acc_class_normal	train_loss_class_normal	train_acc_class_spam	train_loss_class_spam
16.0000	0.2963	0.8882	0.5566	0.8240	0.9231	0.7708	0.5331	1.1044	0.8145	0.4636	0.9555	0.1509	0.7377	0.6001
7.0000	0.7690	0.7262	0.0250	0.4257	0.7924	0.0356	0.0000	2.9937	0.3245	1.7269	0.9823	0.3214	0.0201	1.5783
17.0000	0.2906	0.8903	0.5963	0.8219	0.9256	0.7753	0.8081	0.4973	0.9553	0.1496	0.7490	0.5721	0.5639	1.0169
17.0000	0.2906	0.8901	0.6164	0.8327	0.9204	0.7739	0.5824	0.9789	0.8187	0.4713	0.9548	0.1500	0.7477	0.5769
8.0000	0.7700	0.7248	0.0323	0.4296	0.7726	0.0346	0.0000	3.0050	0.3153	1.7270	0.9820	0.3210	0.0194	1.5803
17.0000	0.2910	0.8902	0.5800	0.8331	0.9217	0.7787	0.5451	1.0639	0.8205	0.4643	0.9543	0.1509	0.7521	0.5695
8.0000	0.7669	0.7259	0.0347	0.4395	0.7740	0.0426	0.0000	3.0101	0.3289	1.7109	0.9807	0.3210	0.0264	1.5696
18.0000	0.2805	0.8936	0.6240	0.8342	0.9214	0.7827	0.6052	0.9555	0.8179	0.4604	0.9547	0.1452	0.7602	0.5583
18.0000	0.2801	0.8943	0.5996	0.8364	0.9257	0.7831	0.5670	1.0078	0.8198	0.4545	0.9564	0.1443	0.7583	0.5536
8.0000	0.7667	0.7264	0.0293	0.4335	0.7871	0.0454	0.0000	2.9818	0.3255	1.7272	0.9817	0.3183	0.0262	1.5697
19.0000	0.2753	0.8955	0.5936	0.8286	0.9296	0.7903	0.5750	0.9719	0.8233	0.4510	0.9569	0.1435	0.7682	0.5351
18.0000	0.2807	0.8940	0.6014	0.8270	0.9244	0.7862	0.5712	1.0135	0.8198	0.4610	0.9582	0.1446	0.7568	0.5442
9.0000	0.7667	0.7248	0.0327	0.4276	0.7763	0.0445	0.0000	2.9888	0.3182	1.7299	0.9804	0.3192	0.0260	1.5725
19.0000	0.2705	0.8986	0.6125	0.8395	0.9264	0.8241	0.4473	0.9582	0.1393	0.7732	0.5353	0.7961	0.5809	0.9562
9.0000	0.7649	0.7257	0.0315	0.4378	0.7758	0.0355	0.0000	2.9932	0.3279	1.7071	0.9815	0.3201	0.0216	1.5710
20.0000	0.2706	0.8980	0.6267	0.8301	0.9301	0.8000	0.6073	0.9093	0.8107	0.4480	0.9581	0.1407	0.7760	0.5303
19.0000	0.2763	0.8956	0.5947	0.8299	0.9263	0.7933	0.5715	1.0209	0.8133	0.4588	0.9577	0.1432	0.7666	0.5277
9.0000	0.7662	0.7262	0.0373	0.4421	0.7784	0.0373	0.0000	2.9891	0.3355	1.7034	0.9810	0.3189	0.0235	1.5793
20.0000	0.2708	0.8980	0.6021	0.8400	0.9271	0.7972	0.5792	0.9571	0.8296	0.4145	0.9576	0.1427	0.7722	0.5351
10.0000	0.7664	0.7260	0.0274	0.4343	0.7807	0.0413	0.0000	3.0079	0.3255	1.7098	0.9816	0.3190	0.0244	1.5766
21.0000	0.2662	0.8997	0.6042	0.8304	0.9284	0.8048	0.5787	0.9574	0.8170	0.4361	0.9597	0.1375	0.7795	0.5167
10.0000	0.7625	0.7261	0.0202	0.4378	0.7949	0.0398	0.0000	2.9950	0.3331	1.6941	0.9808	0.3182	0.0234	1.5699
20.0000	0.2664	0.8987	0.6355	0.8358	0.9287	0.7905	0.6128	0.9414	0.8205	0.4454	0.9584	0.1379	0.7654	0.5256
22.0000	0.2566	0.9013	0.6477	0.8472	0.9310	0.7990	0.6282	0.8311	0.8310	0.4178	0.9581	0.1371	0.7783	0.4988
21.0000	0.2663	0.8993	0.6272	0.8381	0.9269	0.7992	0.6056	0.9800	0.8220	0.4487	0.9582	0.1394	0.7739	0.5097
10.0000	0.7655	0.7261	0.0214	0.4268	0.7950	0.0370	0.0000	2.9832	0.3231	1.7182	0.9819	0.3197	0.0226	1.5642
11.0000	0.7647	0.7259	0.0283	0.4372	0.7826	0.0444	0.0000	2.9582	0.3280	1.7093	0.9808	0.3195	0.0264	1.5721
21.0000	0.2623	0.9011	0.6198	0.8460	0.9296	0.8008	0.5873	0.9586	0.8305	0.4252	0.9604	0.1364	0.7751	0.5054
23.0000	0.2571	0.9022	0.6338	0.8386	0.9309	0.8061	0.6132	0.8725	0.8240	0.4288	0.9585	0.1357	0.7844	0.5083
11.0000	0.7608	0.7265	0.0260	0.4421	0.7810	0.0553	0.0000	2.9770	0.3301	1.6924	0.9798	0.3178	0.0328	1.5613
22.0000	0.2587	0.9039	0.6445	0.8460	0.9325	0.8045	0.6219	0.8992	0.8319	0.4326	0.9597	0.1359	0.7812	0.5087
24.0000	0.2469	0.9063	0.6698	0.8417	0.9338	0.8134	0.6554	0.8336	0.8313	0.4247	0.9595	0.1315	0.7927	0.4794
22.0000	0.2552	0.9040	0.6545	0.8495	0.9323	0.8040	0.6280	0.8618	0.8341	0.4219	0.9594	0.1347	0.7868	0.5006
12.0000	0.7637	0.7260	0.0347	0.4424	0.7682	0.0578	0.0000	2.9912	0.3239	1.7022	0.9800	0.3192	0.0342	1.5640
