current_epoch	train_loss	train_acc	train_f_score_hateful	train_f_score_abusive	train_f_score_normal	train_f_score_spam	train_acc_class_hateful	train_loss_class_hateful	train_acc_class_abusive	train_loss_class_abusive	train_acc_class_normal	train_loss_class_normal	train_acc_class_spam	train_loss_class_spam
28.0000	0.5507	0.7888	0.1153	0.7066	0.8258	0.3161	0.0401	2.3702	0.6426	0.8931	0.9788	0.2541	0.2164	1.2080
28.0000	0.5430	0.7896	0.1415	0.7075	0.8324	0.3205	0.6391	0.8891	0.9792	0.2504	0.2167	1.1990	0.0723	2.2622
33.0000	0.5405	0.7909	0.1640	0.7113	0.8343	0.3243	0.0928	2.2094	0.6431	0.8800	0.9785	0.2508	0.2215	1.1900
29.0000	0.5495	0.7883	0.1225	0.7092	0.8204	0.3148	0.0480	2.3511	0.6360	0.9024	0.9796	0.2512	0.2136	1.2063
29.0000	0.5423	0.7903	0.1490	0.7130	0.8322	0.3213	0.0785	2.2434	0.6390	0.8901	0.9789	0.2513	0.2212	1.1983
34.0000	0.5403	0.7901	0.1518	0.7113	0.8339	0.3182	0.0834	2.2198	0.6432	0.8814	0.9789	0.2483	0.2168	1.2007
30.0000	0.5481	0.7891	0.1102	0.7074	0.8413	0.3130	0.0539	2.3285	0.6453	0.8863	0.9796	0.2510	0.2141	1.2067
35.0000	0.5397	0.7912	0.1556	0.7182	0.8286	0.3212	0.0798	2.2766	0.6455	0.8715	0.9785	0.2499	0.2201	1.1932
30.0000	0.5418	0.7901	0.1491	0.7129	0.8360	0.3254	0.0846	2.2342	0.6402	0.8839	0.9784	0.2508	0.2225	1.1918
31.0000	0.5470	0.7892	0.1260	0.7110	0.8298	0.3143	0.0581	2.3230	0.6390	0.8954	0.9788	0.2522	0.2184	1.1963
36.0000	0.5395	0.7908	0.1541	0.7176	0.8283	0.3177	0.0796	2.2454	0.6514	0.8739	0.9789	0.2481	0.2150	1.2008
